max_hops,src,dst,instance_limit,lambda_gbps,latency_budget_ms,feasible,cost_total_hr,batch_size_mb,num_candidate_paths,num_active_paths,solve_time_s
2,azure:japaneast,gcp:us-west1,2,5.0,500.0,True,296.32860000000005,8.269053090618446,257.0,4,0.9877172919999992
2,azure:japaneast,gcp:us-west1,2,10.0,200.0,True,686.7485999999999,1.8331446239678897,257.0,6,0.9965763339999967
2,azure:japaneast,gcp:us-west1,2,10.0,500.0,True,685.2905999999999,2.585482301090906,257.0,8,0.9107325409999874
2,azure:japaneast,gcp:us-west1,2,15.0,200.0,True,1137.6881999999998,1.8439312536641204,257.0,7,1.0152068330000077
2,azure:japaneast,gcp:us-west1,2,15.0,500.0,True,1126.1465999999996,2.2162452553140604,257.0,10,0.9355685000000022
2,azure:japaneast,gcp:us-west1,4,5.0,200.0,True,272.7,10.454646915584814,257.0,1,0.9517927499999956
2,azure:japaneast,gcp:us-west1,4,5.0,500.0,True,272.7,31.024537551264924,257.0,1,1.0173850829999935
2,azure:japaneast,gcp:us-west1,4,10.0,200.0,True,591.0372000000002,1.8331446239678897,257.0,4,0.9884165840000065
2,azure:japaneast,gcp:us-west1,4,10.0,500.0,True,591.0372000000002,8.414170019652104,257.0,4,0.9436928340000037
2,azure:japaneast,gcp:us-west1,4,15.0,200.0,True,968.4072000000001,1.8439312536641204,257.0,5,0.9139100419999977
2,azure:japaneast,gcp:us-west1,4,15.0,500.0,True,968.4072000000001,8.463680862940976,257.0,5,0.9685132500000009
